"ID","text","Requirement","target","nature","interpretability","[Motivation for ambiguity]","reference","Logic rule","Comments"
"K37419","Räl med vertikalt längsgående fel ska skrotas i sin helhet när ett (1) fel påträffas.","Rails with vertical longitudinal defects shall be scrapped in their entirety when one (1) defect is found.","Process","Mixed","Non-ambiguous",,"No reference",,
"K131013","Vid möte ska handlingsförteckning över konstruktionsredovisningens delar gås igenom.","At the meeting, the list of actions for the construction report parts must be reviewed.","Process","Qualitative","Non-ambiguous",,"No reference",,
"K53178","Strömbegränsningstavla ska vara monterad vid skyddssektion utförd som enkel sektionsisolator med jordelektrod.","The current limiting switchboard must be mounted at the protection section, designed as a single section insulator with a ground electrode.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K53280","Kabeln får inte ligga klämd mot annat än kabelfästen.","The cable must not be clamped against anything other than the cable brackets.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K45678","För grundläggande förreglingskrav på jordningskopplare monterad på frånskiljande effektbrytare ska krav i TTRVINFRA-00128 Elkraftanläggning Omformarstation och transformatorstation 3-fas 50 Hz och 1-fas 16 2/3 Hz utomhusställverk med konstruktionsspänning mellan 52 kV och 145 kV .","For basic interlocking requirements for earthing switches mounted on isolating circuit breakers, the requirements in TTRVINFRA-00128 Electric power plant Converter station and transformer station 3-phase 50 Hz and 1-phase 16 2/3 Hz outdoor switchgear with design voltage between 52 kV and 145 kV shall apply.","Product","Qualitative","Non-ambiguous",,"Internal",,
"K126641","För växel med rörlig korsningsspets ska lokalställare vara försedd med märkskylt (dekal) ""Rörlig korsning"".","For switches with a movable crossing tip, the locator must be provided with a ""Moving crossing"" label (decal).","Product","Qualitative","Non-ambiguous",,"No reference",,
"K191128","BGE PSA_LTO ska bestå av en fast och en styrbar balis.","BGE PSA_LTO shall consist of a fixed and a steerable balise.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K29404","Hänglåsbeslag ska fixeras i höjdled genom fastsvetsning.","Padlock fittings must be fixed vertically by welding.","Process","Qualitative","Non-ambiguous",,"No reference",,
"K52960","Kabelns märkning och position ska framgå av förvaltningshandling.","The cable's marking and position must be stated in the administrative document.","Documentation","Qualitative","Non-ambiguous",,"No reference",,
"K160119","Skredvarningsförsignalen ska normalt vara släckt men ska visa gult blinkande sken när efterföljande skredvarningsstopplykta är tänd.","The avalanche warning signal should normally be off but should show a yellow flashing light when the subsequent avalanche warning stop light is on.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K82808","Skyddsklass 2 enligt SSF 200 gäller för hela anläggningens omslutningsyta.","Protection class 2 according to SSF 200 applies to the entire enclosure of the facility.","Product","Qualitative","Non-ambiguous",,"External",,
"K125486","Kontrollsignalen ska vara försedd med vit märkskylt, mått 350 x 350 millimeter.","The control signal must be provided with a white marking plate, measuring 350 x 350 millimeters.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K111941","Utspetsning ska utföras för självfallsledning i tjälfarlig jord om måttet d, enligt TDOK 2011:264 TRVK Väg, avsnitt 3.","Pointing must be carried out for natural-fall pipes in frost-prone soil with dimension d, according to TDOK 2011:264 TRVK Road, section 3.","Process","Qualitative","Non-ambiguous",,"Internal",,
"K209959","I samband med planering av framföringsväg utanför banvall ska erforderliga tillstånd för kommande kabelförläggning inhämtas från berörda fastighetsägare.","In connection with planning the access route outside the embankment, the necessary permits for future cable laying must be obtained from the property owners concerned.","Process","Qualitative","Non-ambiguous",,"No reference",,
"K4085","Budskapsytan (framsidan) för lysande VMS ska vara utförd med svart kulör, RAL 9005 med glans < 1 %.","The message surface (front) for illuminated VMS must be painted black, RAL 9005 with a gloss of < 1%.","Product","Mixed","Non-ambiguous",,"External",,
"K5363","Spalter mellan prismorna i kontinuerlig VMS får inte vara större än 5 % av diametern på en cirkel som tangerar prismans tre hörn.","Gaps between prisms in continuous VMS must not be greater than 5% of the diameter of a circle tangent to the three corners of the prism.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K111975","Pumpbrunn, apparatskåp och trycklednings nedströms ändpunkt ska placeras så att drift och underhåll underlättas.","The pump well, control cabinet and downstream end point of the pressure line should be positioned to facilitate operation and maintenance.","Product","Qualitative","Ambiguous (natural)",,"No reference",,
"K157972","Utspetsningslängd ska bestämmas enligt avsnitt 15.","The length of the taper shall be determined according to section 15.","Product","Qualitative","Non-ambiguous",,"Local",,
"K195579","Fallskydd på kanten av en bro och broliknande konstruktion eller i omedelbar anslutning till stup ska uppfylla krav enligt Krav i TRVINFRA-00227 Bro och broliknande konstruktion, Byggande.","Fall protection on the edge of a bridge and bridge-like structure or in the immediate vicinity of a drop-off must meet the requirements in TRVINFRA-00227 Bridge and bridge-like structure, Construction.","Product","Qualitative","Non-ambiguous",,"Internal",,
"K34677","Svetsobjekt ska stämplas med svetsarnummer på stämplingslägen enligt avsnitt 5.","Welding objects shall be stamped with the welder's number at the stamping locations according to section 5.","Product","Qualitative","Non-ambiguous",,"Local",,
"K34312","Stationsnamnskyltar på plattformar ska sättas upp på ett avstånd av 30 ± 10 meter från plattformens yttersta U-skyltar.","Station name signs on platforms should be placed at a distance of 30 ± 10 meters from the platform's outermost U-signs.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K44037","För en järnvägstunnel får endast last från betongkonstruktionens egentyngd samt last av fyllning och underballast medräknas.","For a railway tunnel, only loads from the concrete structure's own weight and loads from fill and sub-ballast may be included.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K118437","För att bli behörig ibruktagandebesiktningsman banöverbyggnad ska kraven i detta kapitel uppfyllas.","To become a qualified commissioning inspector for track superstructure, the requirements in this chapter must be met.","Process","Qualitative","Non-ambiguous",,"Local",,
"K4657","Funktionsyta för manöver i paneler med funktionsytor i form av flikar ska vara anpassad till möjliga funktioner för aktuellt objekt.","Functional surfaces for maneuvering in panels with functional surfaces in the form of tabs should be adapted to possible functions for the object in question.","Product","Qualitative","Ambiguous (natural)","Natural ambiguity since the requirement is quite open to interpretation of what is actually required and how it can be verified.","No reference",,
"K74041","Kopparbaserad datakommunikationskabel ska vara av industrikvalitet och vara utförd i CAT-5e eller bättre och vara utrustad med RJ-45 kontakter.","Copper-based data communication cable should be of industrial quality and be made in CAT-5e or better and be equipped with RJ-45 connectors.","Product","Qualitative","Ambiguous (artificial)","""Industrial quality"" is vague and can be removed if the remaining qualities (CAT-5e, having RJ-45 connectors) are sufficient. If not, then it needs to be defined.","No reference",,
"K62481","Bärtrådar får inte placeras närmare än 6 m från närmsta upphängningspunkt.","Support wires must not be placed closer than 6 m from the nearest suspension point.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K128820","Besiktningsansvarig ska: · säkerställa att besiktningsmän/bankontrollanter uppfyller de krav som ställs.","The inspection manager must: · ensure that inspectors/track inspectors meet the requirements.","Process","Qualitative","Non-ambiguous",,"No reference",,
"K73572","Port i bullerskyddsskärm ska förses med lås som förhindrar obehörig öppning.","Doors in noise protection screens must be equipped with locks that prevent unauthorized opening.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K47725","Apparat ska vara märkt med skylt med uppgift om apparatnummer och benämning.","The device must be marked with a sign stating the device number and name.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K58631","Växelvärmeskåp för alternativ 1:1 ska vara bestyckat enligt tabell 9.","The heat exchanger cabinet for alternative 1:1 must be equipped according to table 9.","Product","Qualitative","Non-ambiguous",,"Local",,
"K74107","Skalan på visarinstrument för nödfrånkopplingsslingas viloström ska vara 0 - 20 mA.","The scale of the emergency stop loop quiescent current indicator instrument should be 0 - 20 mA.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K135133","Ytavloppsrör ska dras ned ? 100 mm under huvudbalks underyta.","Surface drain pipes should be pulled down ? 100 mm below the bottom surface of the main beam.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K126224","Baliskabelns skärm ska vara ansluten till stommen.","The balise cable shield should be connected to the chassis.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K56941","Sektionslängd får inte överstiga 570 m vid fastavspänning.","Section length must not exceed 570 m when using fixed tension.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K34242","I stationshus ska det finnas markeringsskyltar för de objekt som finns i stationshuset.","In station buildings, there should be marking signs for the objects located in the station building.","Product","Qualitative","Ambiguous (artificial)","What is defined as ""object"" is unclear. ","No reference",,
"K210506","Den tryckkurva som ska tas på berörd kommunikationskabel efter ombyggnation av Trafikverkets kopparkabelanläggningar får inte uppvisa någon försämring jämfört med den tryckkurva som togs före ombyggnationen.","The pressure curve that must be taken on the affected communication cable after reconstruction of the Swedish Transport Administration's copper cable facilities must not show any deterioration compared to the pressure curve that was taken before the reconstruction.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K15488","Texthöjd för Märkning av VVS och tunnelventilationssystem ska vara minst 10 mm.","Text height for Marking of HVAC and tunnel ventilation systems must be at least 10 mm.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K63092","Växelutliggare i stolpe ska vara utformade enligt typritning i tabell 14.","Pole-mounted switch cantilevers shall be designed according to the type drawing in Table 14.","Product","Qualitative","Non-ambiguous",,"Local",,
"K125681","En V-skylt ska finnas · under en vägskyddssignal · under en orienteringstavla för vägskyddsanläggning.","A V sign must be located · under a road safety signal · under an orientation board for a road safety facility.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K56391","APDL ska vara förberedd för 6-trådskoppling.","APDL should be prepared for 6-wire connection.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K64490","Vid ändpunkt ska märkningen placeras där den är tillgänglig och läsbar, till exempel i nedre delen av kontaktledningsstolpe men ovanför kabelskydd, eller under kopplingslåda, växelvärmeskåp och dylikt.","At the end point, the marking should be placed where it is accessible and legible, for example in the lower part of the overhead line pole but above the cable protection, or under the junction box, switchgear heating cabinet and the like.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K47482","Kabelförbindning mellan skåp som är monterade sida vid sida ska vara av typ flerledarkabel.","Cable connections between cabinets mounted side by side should be of the multi-conductor cable type.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K30734","Rälsförhöjningsskylt ska utföras enligt standardritning 805898.","Rail elevation sign shall be made according to standard drawing 805898.","Product","Qualitative","Non-ambiguous",,"External",,
"K46667","Sits och lock till WC-stol ska vara av plast.","The toilet seat and lid must be made of plastic.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K43393","Konstruktionsredovisningen ska minst omfatta: · redogörelse för konstruktionsarbetets förutsättningar och metoder (RKFM) enligt avsnitt 5.","The design report shall at least include: · a description of the conditions and methods of the design work (RKFM) according to section 5.","Documentation","Qualitative","Non-ambiguous",,"Local",,
"K29408","Överklättringsskydd av typen hajtand ska finnas på grind om anslutande stängsel saknar taggtråd.","""Shark tooth"" type anti-climb protection must be installed on the gate if the connecting fence does not have barbed wire.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K135002","Om tvärbalk under brobaneplatta inte är hopgjuten med brobaneplatta ska fritt avstånd mellan tvärbalk och brobaneplatta vara ? 300 mm.","If the crossbeam under the bridge deck slab is not cast together with the bridge deck slab, the free distance between the crossbeam and the bridge deck slab must be ? 300 mm.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K63399","Varningsskylten ska placeras i 45º korsningsvinkel mot vägen.","The warning sign should be placed at a 45º intersection angle to the road.","Product","Quantitative","Ambiguous (artificial)","It's unclear which axis the angle refers to. Maybe this is tacit knowledge in the domain.","No reference",,
"K64336","Spänningsförande friledningar för tågdrift (matarledning, hjälpkraftledning och återledning) får inte permanent förläggas över plattformar där människor vistas.","Live overhead lines for train operation (feeder line, auxiliary power line and return line) must not be permanently installed over platforms where people are present.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K47635","Indikeringslampa respektive tryckknapp ska vara märkta med en skylt ovanför respektive lampa/tryckknapp.","The indicator light and push button must be marked with a sign above the respective light/push button.","Product","Qualitative","Ambiguous (artificial)","What sign? Any sign?","No reference",,
"K46405","Gånggrind i områdesskydd ska vara utrustad med godkänd låsenhet, i enlighet med SSF200.","Pedestrian gates in area protection must be equipped with an approved locking device, in accordance with SSF200.","Product","Qualitative","Non-ambiguous",,"External",,
"K81775","Stängsel ska uppfylla kraven enligt SSF 1087, Klass C, Risknivå 2.","Fences must meet the requirements of SSF 1087, Class C, Risk Level 2.","Product","Qualitative","Non-ambiguous",,"External",,
"K53671","För isolerad sektionsövergång över tre övergångsspann ska skyltar vara placerade enligt figur 4.","For insulated section transitions over three transition spans, signs shall be placed according to Figure 4.","Product","Mixed","Non-ambiguous",,"Local",,
"K52959","Kabeln ska kunna identifieras genom dess beteckning.","The cable should be identifiable by its designation.","Product","Qualitative","Ambiguous (artificial)","What should be indentified? Type of the cable, location, brand, what?","No reference",,
"K38784","Apparatskåp vid trafikkontrollplats ska vara enligt {TRVINFRA-00250 Apparatskåp vägoperativ miljö}.","Equipment cabinets at traffic control points must be in accordance with {TRVINFRA-00250 Equipment cabinets, road operating environment}.","Product","Qualitative","Non-ambiguous",,"Internal",,
"K53673","I växelkryss med isolerade ryttare ska skylt vara placerad enligt figur 5 så att minsta isolationsavstånd inte underskrids.","At interchanges with isolated riders, the sign must be placed according to Figure 5 so that the minimum isolation distance is not exceeded.","Product","Qualitative","Ambiguous (artificial)","Minimum isolation distance is an unspecified quantity artificially ambiguous.","Local",,
"K29453","Överklättringsskydd av typen hajtand ska finnas på grind om anslutande stängsel saknar taggtråd.","""Shark tooth"" type anti-climb protection must be installed on the gate if the connecting fence does not have barbed wire.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K46663","WC-stol ska vara av porslin.","The toilet seat must be made of porcelain.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K161329","Detektorer för växeltungans läge ska vara utförda enligt utläggningsritning för respektive spårväxlar.","Detectors for the position of the switch tongue must be designed according to the layout drawing for the respective switches.","Product","Qualitative","Non-ambiguous",,"Internal",,
"K34308","Plattformsskyltar på plattformar ska  om det är tekniskt möjligt  placeras på en höjd av 2 700 mm mätt från skyltens underkant.","Platform signs on platforms shall  if technically possible  be placed at a height of 2,700 mm measured from the bottom edge of the sign.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K31364","Tilläggsskylt låssymbol ska ha dimension 200x200 mm.","Additional lock symbol sign should have dimensions of 200x200 mm.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K9670","Trafikinformationstavlor av typ A ska vara monterade på en fri höjd av 5,5 m (tolerans - 0,1 till +0,2m) inklusive bärande konstruktioner.","Type A traffic information signs must be mounted at a clear height of 5.5 m (tolerance - 0.1 to +0.2 m) including supporting structures.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K58677","Styrkabel mellan master- och slavskåp ska vara skärmad och partvinnad.","The control cable between the master and slave cabinets must be shielded and twisted pair.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K160248","Uppehållstavla ska visa antingen bokstaven U, eller siffror som anger tåglängden i meter.","The stop sign should display either the letter ""U"", or numbers indicating the train length in meters.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K134489","Träpåle ska förläggas på en nivå ? 200 mm under LLW50 eller lägsta grundvattenyta.","Wooden piles should be placed at a level ? 200 mm below LLW50 or lowest groundwater level.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K134997","Lådbalks invändiga utrymme ska vara dränerat med dräneringshål med diameter ? 50 mm genom underfläns.","The interior space of the box girder must be drained with drainage holes with a diameter ? 50 mm through the bottom flange.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K34739","Hårdlödning ska användas vid igensättning av hål i växeltungor.","Brazing should be used when plugging holes in switch tongues.","Process","Qualitative","Non-ambiguous",,"No reference",,
"K37397","Vid dubbelsidig användning ska den sida märkas som har minst sidoslitage.","When using double-sided, the side with the least side wear should be marked.","Process","Qualitative","Ambiguous (artificial)","Marked how? How is wear measured?","No reference",,
"K118449","En person som uppfyller alla krav enligt kapitel Förutsättningar för ibruktagandebesiktningsman banöverbyggnad ska vara behörig endast om hen genomgår en kurs med godkänt resultat.","A person who meets all the requirements according to the chapter ""Requirements for commissioning inspectors for track superstructure"" shall only be qualified if he or she completes a course with a passing score.","Process","Qualitative","Non-ambiguous",,"Local",,
"K47105","Skyddsutjämningsledare ska följa kanalisation och vara ansluten till varje del av kanalisation.","Protective equalization conductors must follow the ductwork and be connected to each part of the ductwork.","Product","Qualitative","Ambiguous (artificial)","Not clear what ""each part"" here exactly means. Potential for misunderstanding.","No reference",,
"K210132","Märkbrickor i Trafikverkets kopparkabelanläggningar ska placeras på eller i direkt anslutning till samtliga utomhusplacerade Telecom-boxar.","Labels in the Swedish Transport Administration's copper cable installations must be placed on or in direct connection to all outdoor Telecom boxes.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K34244","Väggmonterade statiska skyltar i stationshus ska  om det är tekniskt möjligt  placeras på en höjd av 1 600 mm mätt från skyltens underkant.","Wall-mounted static signs in station buildings should  if technically possible  be placed at a height of 1,600 mm measured from the bottom edge of the sign.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K46258","Dräneringsrör ska ha slät insida.","Drainage pipes should have a smooth inside.","Product","Qualitative","Ambiguous (artificial)","Smoothness is not defined, but could.","No reference",,
"K62626","Kontaktledningslutningen mellan två upphängningspunkter får inte överstiga 2 .","The contact line slope between two suspension points must not exceed 2.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K30931","Mätpunkter på varje 20 meters-intervall ska väljas utifrån kontroll enligt avsnitt 9.","Measurement points at each 20 meter interval shall be selected based on control according to section 9.","Process","Quantitative","Non-ambiguous",,"Local",,
"K6873","Huvudelkopplare i apparatskåp ska vara låsbar med säker avskiljning av samtliga grupper.","The main switch in the electrical cabinet must be lockable with safe separation of all groups.","Product","Qualitative","Ambiguous (artificial)","The intention here is not clear, hence what ""lockable"" and ""safe"" means is up to interpretation.","No reference",,
"K1891","Trafikinformationstavlor av typ B ska vara monterade på stolpar och bärverk av fackverkstyp.","Type B traffic information signs must be mounted on posts and truss-type supports.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K195234","Körfältsvägvisare i portal ska vara monterade med horisontell underkant.","Lane direction indicators in portals should be mounted with a horizontal bottom edge.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K194950","Vertikal snölast ska appliceras på gångbryggor, serviceplan etc.","Vertical snow load should be applied to walkways, service levels, etc.","Process","Qualitative","Ambiguous (artificial)","I assume this is a process requirement for calculating the needed bearing capability of objects under snow pressure. It is ambiguous because its scope (to what it applies) ends with ""etc."" making the scope undefined.","No reference",,
"K135723","Långsam växel ska dimensioneras för statisk last.","Slow gear should be dimensioned for static load.","Product","Qualitative","Ambiguous (artificial)","Ambiguous for me, possible because lack of domain knowledge. ""Slow"" is ambiguous and unclear to what ""static load"" refers to.","No reference",,
"K3449","Beställarens granskningstider för dokument i dokumentleveranser ska vara 10 arbetsdagar.","The customer's review time for documents in document deliveries shall be 10 working days.","Process","Quantitative","Non-ambiguous",,"No reference",,
"K129238","Redogörelse för konstruktionsarbetets förutsättningar och metoder, ritning och beskrivning ska upprättas på svenska.","An account of the conditions and methods of the construction work, drawings and descriptions must be prepared in Swedish.","Documentation","Qualitative","Non-ambiguous",,"No reference",,
"K62191","Tillverkaren eller dess representant ska lämna en EG-försäkran om överensstämmelse med skyddskrav.","The manufacturer or his representative must provide an EC declaration of conformity with protection requirements.","Documentation","Qualitative","Non-ambiguous",,"No reference",,
"K126161","Böjningsradien för kablar tillhörande kabelfamilj JZ-500 HMH får inte understiga 6 x kabeldiametern.","The bending radius for cables belonging to the JZ-500 HMH cable family must not be less than 6 x the cable diameter.","Process","Quantitative","Non-ambiguous",,"No reference",,
"K34333","Hänvisningsskyltar på plattformar som monteras hängande under plattformstaket ska placeras på en höjd av 2 700 mm mätt från skyltens underkant.","Information signs on platforms that are mounted suspended below the platform roof must be placed at a height of 2,700 mm measured from the bottom edge of the sign.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K134597","Stålöverbyggnad med brobaneplatta av betong ska utformas med samverkan mellan huvudbalkar och brobaneplatta.","Steel superstructure with concrete deck slab shall be designed with interaction between main beams and deck slab.","Product","Qualitative","Ambiguous (artificial)","Ambiguous because it is unclear what ""interaction"" means in this context.","No reference",,
"K29841","Stängsel får inte monteras så att stängsels spännkraft verkar på märla, se figur K7.","Fences must not be installed so that the tension of the fence acts on the soil, see figure K7.","Product","Qualitative","Non-ambiguous","Could also be process because the requirements refers to installing the fence.","Local",,
"K29166","Stängsel får inte placeras inom arbetsbredd hos angränsande räcke.","Fences must not be placed within the working width of adjacent railings.","Product","Qualitative","Ambiguous (artificial)","Working width of a rail is not clear to what it refers to.","No reference",,
"K63424","Skyddsportal i järnvägs tvärsektion ska sättas upp 8 - 12 m från närmaste räl.","Safety gates in railway cross sections should be set up 8 - 12 m from the nearest rail.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K195587","Stag och strävor ska ha samma beständighet som angetts för stolparna.","Ties and struts must have the same durability as specified for the posts.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K118413","Ibruktagandebesiktningsman ska dokumentera besiktning enligt TMALL 0377 Ibruktagandebesiktning bananläggning bilaga F, och även signera dokumentet.","The commissioning inspector must document the inspection according to TMALL 0377 Commissioning inspection of track facilities, appendix F, and also sign the document.","Documentation","Qualitative","Non-ambiguous",,"Internal",,
"K135893","Elstängsel ska följa kraven i SSF 1087 för respektive områdesskyddsklass.","Electric fencing must comply with the requirements of SSF 1087 for each area protection class.","Product","Qualitative","Non-ambiguous",,"External",,
"K44199","Stångarmering och ingjutningsgods av konstruktionsstål ska alltid täckas med ett täckande betongskikt.","Bar reinforcement and structural steel castings should always be covered with a covering layer of concrete.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K2608","För sammansatt utrustning som apparatskåp, ventilationsaggregat och liknande ska märkskyltar vara monterade på eller i front.","For composite equipment such as control cabinets, ventilation units and the like, nameplates must be mounted on or in the front.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K47630","Apparatskåp ska vara märkt enligt TRVINFRA-00070 Elkraftsanläggning Stationer.","The control cabinet must be marked according to TRVINFRA-00070 Electric Power Plant Stations.","Product","Qualitative","Non-ambiguous",,"Internal",,
"K82085","Kortläsare ska vara utrustat med vandalskydd.","Card readers must be equipped with vandal protection.","Product","Qualitative","Ambiguous (natural)","Since the type of protection is not specified, natural ambiguity.","No reference",,
"K56251","Snörasskydd ska finnas ovanför ytterdörrar och andra passager.","Snow guards should be installed above exterior doors and other passageways.","Product","Qualitative","Ambiguous (artificial)","""other"" makes the requirement ambiguous since scope is now open and open to interpretation where the guards need to be installed.","No reference",,
"K56027","Hyllan med tangentbord och pekdon ska kunna fällas in i kontrollskåpet.","The shelf with the keyboard and pointing device should be able to be folded into the control cabinet.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K44062","Laster från ovanförliggande eller intilliggande byggnadsverk ska delas upp i permanenta laster och variabla laster.","Loads from overhead or adjacent structures shall be divided into permanent loads and variable loads.","Process","Qualitative","Non-ambiguous",,"No reference",,
"K56193","Konstruktionsvirke ska minst vara utfört i kvalitet C14 där ej annat anges.","Structural timber must be at least of quality C14 unless otherwise stated.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K2896","Synbarhet hos vägbaneljus för avstängningsanordningar ska vara tydlig på 100 - 10 meters avstånd förutsatt att konstruktioner utanför vägbanan inte begränsar sikten.","Visibility of roadway lights for closing devices shall be clear at a distance of 100 - 10 meters provided that structures outside the roadway do not restrict visibility.","Product","Mixed","Ambiguous (artificial)","""Clear visibility"" is ambiguous.","No reference",,
"K49350","Tryckknappar för lokal manövrering ska vara märkt med skylt med texten FÖR PROVNING.","Pushbuttons for local operation must be marked with a sign with the text FOR TESTING.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K6389","Markeringsskärmar på vägbom för tvåsidiga avstängningsanordningar ska vara med individuell markeringsskärm per bom.","Marking screens on road barriers for two-sided closure devices must have an individual marking screen per barrier.","Product","Mixed","Non-ambiguous",,"No reference",,
"K29436","Skjutgrind ska monteras fribärande i stativ enligt tillverkarens anvisning.","Sliding gates should be mounted cantilevered in a frame according to the manufacturer's instructions.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K53186","Varningsskyltar ska sitta vid plankorsningar.","Warning signs must be placed at level crossings.","Product","Qualitative","Ambiguous (artificial)","The placement is not clear. It is not natural amguity since this is not about solution freedom but safety.","No reference",,
"K30518","Rälsförhöjning ska anordnas så att ytterräl ligger högre än innerräl.","Rail elevation should be arranged so that the outer rail is higher than the inner rail.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K30144","Vid nybyggnation ska normalsektion för fria rummet enligt figur K5.","In new construction, the normal section for the free space should be according to Figure K5.","Product","Qualitative","Non-ambiguous",,"Local",,
"K195029","Betongen ska uppfylla kraven i SS-EN 206 och SS 137003, Betong  användning av EN 206 i Sverige.","The concrete must meet the requirements of SS-EN 206 and SS 137003, Concrete - use of EN 206 in Sweden.","Product","Qualitative","Non-ambiguous",,"External",,
"K6210","Kameraenheter av fast typ med fjärrmanövrerad zoom ska bildutsnittet vara med möjlighet att styras via ONVIF, Profil S.","Fixed-type camera units with remote-controlled zoom must have the ability to control the image section via ONVIF, Profile S.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K195209","En skylt ska vara tillverkad av material som uppfyller krav enligt avsnitt 5.","A sign shall be made of material that meets the requirements of section 5.","Product","Qualitative","Non-ambiguous",,"Local",,
"K10168","Trafikinformationstavla av typ A1W, A2W, A3W ska vara med gångbrygga till entrédörr.","Traffic information boards of type A1W, A2W, A3W must have a walkway to the entrance door.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K209322","I samband med nybyggnation av Trafikverkets optokabelanläggningar i tunnlar ska fibrerna i lokalkablar avsedda för tele- och datakommunikation anslutas med UPC- kontakter till blå mellanstycken i ODF-enheter.","In connection with the construction of new optical cable installations in tunnels by the Swedish Transport Administration, the fibers in local cables intended for telecommunications and data communication must be connected with UPC connectors to blue adapters in ODF units.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K73689","Bullerskyddsskärm ska kunna motstå påverkan från vegetationsröjning av intilliggande yta utan att skadas.","Noise protection screens must be able to withstand the impact of vegetation clearing of adjacent areas without being damaged.","Product","Qualitative","Ambiguous (natural)","From a verification perspective, this capability is difficult to test.","No reference",,
"K29725","Spärrstängsel ska dras fram till säkerhetszon.","Barriers should be erected to the safety zone.","Product","Qualitative","Ambiguous (artificial)","Not clear from where the barriers should be erected.","No reference",,
"K6324","I anslutningar till portaler eller master försedda med åskskydd och överspänningsskydd ska skylt med text ""ANLÄGGNINGEN ÄR FÖRSEDD MED ÅSKSKYDD OCH ÖVERSPÄNNINGSSKYDD"" vara redovisad.","In connections to portals or masts equipped with lightning protection and surge protection, a sign with the text ""THE SYSTEM IS EQUIPPED WITH LIGHTNING PROTECTION AND SURGE PROTECTION"" must be displayed.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K29162","Stängsel ska utformas och placeras så att det inte skymmer fri sikt vid plankorsning.","Fences should be designed and placed so that they do not obstruct clear visibility at level crossings.","Product","Qualitative","Ambiguous (artificial)","Clear visibility is ambiguoys. Visibility for who?","No reference",,
"K55617","Märkning ska vara utförd med skyltämne enligt ritning 3-800132 - Skyltämne för stolpbeteckning.","Marking shall be carried out with sign blanks according to drawing 3-800132 - Sign blanks for pole designation.","Product","Qualitative","Non-ambiguous",,"Internal",,
"K125516","Orienteringstavla, se figur nedan, ska med tilläggsskylt med driftplatssignatur, finnas före en infartssignal på försignalavstånd till infartssignalen.","An orientation board, see figure below, with an additional sign with the operating location signature, must be located before an approach signal at a pre-signal distance to the approach signal.","Product","Qualitative","Ambiguous (artificial)","Unclear to what the pre-signal distance refers to. Also, horribly convoluted.","Local",,
